PCT Code,PCT Name,Type 1 10/11 prev,Type 2 10/11 prev,All 10/11 prev,hba1c,bmi,bp,albumin,creatinine,cholesterol,eyeexam,footexam,smoking,allcareprocesses,hba1c<6.5,hba1c<=7.5,hba1c<=10,chol<4,chol<5,bptarget,bp140/80,alltargets
5M8,North Somerset PCT,0.0041,0.0386,0.0431,0.9242,0.8969,0.9527,0.7852,0.9307,0.9157,0.8492,0.8491,0.8614,0.6138,0.2930,0.6473,0.9294,0.3534,0.7399,0.3603,0.4511,0.1932
5PH,North Staffordshire PCT,0.0041,0.0481,0.0526,0.9410,0.9058,0.9595,0.7249,0.9428,0.9253,0.8416,0.8473,0.8753,0.5514,0.2965,0.6359,0.9233,0.4347,0.7894,0.3575,0.4452,0.1985
5D8,North Tyneside PCT,0.0049,0.0435,0.0504,0.9544,0.9175,0.9572,0.7863,0.9507,0.9423,0.7721,0.8538,0.8612,0.5386,0.2240,0.6385,0.9271,0.4089,0.7572,0.3582,0.4703,0.1970
5NV,North Yorkshire And York PCT,0.0042,0.0356,0.0402,0.9581,0.9204,0.9648,0.8063,0.9570,0.9397,0.8771,0.8748,0.8930,0.6505,0.2165,0.6226,0.9298,0.3831,0.7642,0.3561,0.4340,0.1885
5PD,Northamptonshire Teaching PCT,0.0045,0.0393,0.0443,0.9303,0.8908,0.9537,0.7568,0.9273,0.9176,0.8269,0.8279,0.8768,0.5599,0.2018,0.5830,0.9051,0.3773,0.7646,0.3737,0.4518,0.1851
TAC,Northumberland Care Trust,0.0047,0.0473,0.0535,0.9617,0.9290,0.9670,0.8326,0.9553,0.9474,0.8529,0.8644,0.9078,0.6507,0.2022,0.6274,0.9241,0.4420,0.7752,0.3826,0.4970,0.2031
5EM,Nottingham City PCT,0.0041,0.0350,0.0399,0.9136,0.8757,0.9249,0.7869,0.8996,0.8798,0.7906,0.8219,0.8605,0.5880,0.2519,0.5936,0.8911,0.4285,0.7777,0.3705,0.4534,0.1803
5N8,Nottinghamshire County Teaching PCT,0.0047,0.0395,0.0450,0.9456,0.9051,0.9616,0.8076,0.9422,0.9202,0.8511,0.8575,0.8572,0.6094,0.2237,0.6126,0.9228,0.4331,0.7859,0.3824,0.4684,0.2018
5J5,Oldham PCT,0.0034,0.0444,0.0481,0.9327,0.8957,0.9507,0.7523,0.9328,0.9226,0.8320,0.8090,0.8480,0.5276,0.1941,0.6360,0.9244,0.4661,0.8082,0.3856,0.4721,0.2156
5QE,Oxfordshire PCT,0.0038,0.0321,0.0369,0.8494,0.8063,0.8616,0.7253,0.8555,0.8444,0.7515,0.7669,0.8048,0.5297,0.2817,0.6199,0.9227,0.4585,0.8055,0.3625,0.4444,0.1969
5PN,Peterborough PCT,0.0044,0.0423,0.0474,0.9184,0.8968,0.9477,0.6326,0.9249,0.9063,0.8092,0.8555,0.8942,0.5006,0.1661,0.5383,0.8788,0.4027,0.7627,0.3240,0.3920,0.1508
5F1,Plymouth Teaching PCT,0.0044,0.0360,0.0426,0.9092,0.9045,0.9501,0.7994,0.9288,0.9154,0.7782,0.8188,0.6416,0.4348,0.2768,0.6325,0.9177,0.4199,0.7895,0.3613,0.4525,0.1992
5FE,Portsmouth City Teaching PCT,0.0041,0.0357,0.0403,0.9177,0.8911,0.9437,0.6561,0.9309,0.9141,0.8219,0.8148,0.8429,0.4681,0.1989,0.5944,0.9110,0.4521,0.8043,0.3581,0.4281,0.1850
5NA,Redbridge PCT,0.0028,0.0505,0.0541,0.9006,0.8973,0.9416,0.6420,0.9066,0.8994,0.8058,0.8476,0.7901,0.4435,0.2276,0.6347,0.9173,0.4098,0.7860,0.3386,0.4259,0.1870
5QR,Redcar And Cleveland PCT,0.0045,0.0449,0.0500,0.9552,0.9304,0.9750,0.7143,0.9692,0.9603,0.9110,0.9018,0.8873,0.5825,0.2754,0.6544,0.9300,0.4275,0.7926,0.3828,0.4760,0.2166
5M6,Richmond And Twickenham PCT,0.0027,0.0228,0.0261,0.9170,0.8736,0.9438,0.6932,0.9248,0.9218,0.8079,0.8327,0.7568,0.4520,0.3015,0.6720,0.9399,0.3802,0.7738,0.4037,0.4834,0.2066
5H8,Rotherham PCT,0.0040,0.0430,0.0473,0.9403,0.9062,0.9597,0.7628,0.9363,0.9275,0.7939,0.8587,0.8795,0.5576,0.2836,0.6416,0.9167,0.4662,0.8180,0.3895,0.4674,0.2272
5F5,Salford PCT,0.0039,0.0412,0.0458,0.9464,0.9160,0.9645,0.8314,0.9507,0.9323,0.7695,0.8173,0.9017,0.5656,0.3574,0.6915,0.9285,0.4334,0.7931,0.4063,0.5046,0.2481
5PF,Sandwell PCT,0.0035,0.0512,0.0581,0.9157,0.9001,0.9484,0.8101,0.9222,0.9152,0.7528,0.8547,0.8297,0.5440,0.2847,0.6723,0.9176,0.4009,0.7783,0.3921,0.4826,0.2308
5NJ,Sefton PCT,0.0040,0.0425,0.0469,0.9069,0.8560,0.9307,0.7722,0.9036,0.8969,0.8370,0.8030,0.8178,0.5728,0.3066,0.6907,0.9317,0.4212,0.7790,0.3589,0.4576,0.2122
5N4,Sheffield PCT,0.0040,0.0423,0.0469,0.9484,0.9081,0.9642,0.8050,0.9486,0.9327,0.7929,0.8789,0.8639,0.5829,0.2070,0.6180,0.9153,0.4508,0.7992,0.3916,0.4758,0.2116
5M2,Shropshire County PCT,0.0040,0.0394,0.0436,0.9333,0.8843,0.9527,0.8358,0.9415,0.9308,0.8493,0.8002,0.7096,0.4765,0.2991,0.6649,0.9413,0.3834,0.7838,0.3415,0.4266,0.2078
5QW,Solihull PCT,0.0041,0.0414,0.0459,0.9435,0.9166,0.9603,0.7416,0.9432,0.9378,0.8138,0.8758,0.8612,0.5457,0.2219,0.6700,0.9417,0.4111,0.7816,0.3400,0.4163,0.1943
5QL,Somerset PCT,0.0042,0.0420,0.0478,0.9366,0.8928,0.9534,0.6960,0.9477,0.9338,0.8331,0.8450,0.8355,0.5106,0.1944,0.5938,0.9069,0.4196,0.7859,0.3426,0.4539,0.1723
5M1,South Birmingham PCT,0.0039,0.0391,0.0435,0.9389,0.9147,0.9534,0.7616,0.9418,0.9335,0.8024,0.8663,0.8846,0.5714,0.2176,0.6204,0.9102,0.4143,0.7661,0.3536,0.4502,0.1954
5P1,South East Essex PCT,0.0044,0.0405,0.0463,0.9071,0.8790,0.9388,0.7222,0.9087,0.9032,0.8242,0.8284,0.7720,0.4847,0.2596,0.6548,0.9290,0.3881,0.7670,0.3459,0.4138,0.1937
5A3,South Gloucestershire PCT,0.0044,0.0344,0.0392,0.9366,0.9094,0.9506,0.8042,0.9362,0.9204,0.8394,0.8670,0.8757,0.6267,0.2637,0.6217,0.9187,0.4054,0.7748,0.3674,0.4554,0.1989
5PK,South Staffordshire PCT,0.0042,0.0403,0.0447,0.9256,0.9135,0.9406,0.7604,0.9288,0.9172,0.8226,0.8403,0.8773,0.6036,0.1860,0.6012,0.9210,0.4133,0.7764,0.3471,0.4221,0.1793
5KG,South Tyneside PCT,0.0048,0.0511,0.0565,0.9335,0.8932,0.9555,0.7727,0.9206,0.9123,0.8768,0.8761,0.8844,0.6207,0.3400,0.6711,0.9273,0.4163,0.7668,0.3724,0.4574,0.2207
5PY,South West Essex PCT,0.0042,0.0395,0.0469,0.9149,0.9008,0.9534,0.6892,0.9206,0.9176,0.8720,0.8515,0.7854,0.4780,0.3072,0.6822,0.9349,0.4180,0.7829,0.3641,0.4362,0.2182
5L1,Southampton City PCT,0.0042,0.0348,0.0396,0.9249,0.8988,0.9481,0.7145,0.6589,0.9117,0.8289,0.8455,0.8730,0.4189,0.2352,0.5545,0.8978,0.4109,0.7747,0.3743,0.4416,0.1789
5LE,Southwark PCT,0.0031,0.0321,0.0356,0.9170,0.8703,0.9421,0.7668,0.8937,0.8899,0.7923,0.8235,0.7638,0.5051,0.2406,0.6195,0.9050,0.3850,0.7562,0.3760,0.4422,0.1982
